adminDB,title,extent
0012_004267_000082,"Tennessee farm and home science, progress report 102, April - June 1977",36 pages
0012_004267_000083,"Tennessee farm and home science, progress report 103, July - September 1977",40 pages
0012_004267_000084,"Tennessee farm and home science, progress report 104, October - December 1977",48 pages
0012_004267_000085,"Tennessee farm and home science, progress report 105, January - March 1978",40 pages
0012_004267_000086,"Tennessee farm and home science, progress report 108, October - December 1978",40 pages
0012_004267_000087,"Tennessee farm and home science, progress report 107, July - September 1978",28 pages
0012_004267_000088,"Tennessee farm and home science, progress report 106, April - June 1978",20 pages
0012_004267_000089,"Tennessee farm and home science, progress report 109, January - March 1979",36 pages
0012_004267_000090,"Tennessee farm and home science, progress report 110, April - June 1979",44 pages
0012_004267_000091,"Tennessee farm and home science, progress report 111, July - September 1979",48 pages
0012_004267_000092,"Tennessee farm and home science, progress report 112, October - December 1979",48 pages
0012_004267_000093,"Tennessee farm and home science, progress report 113, January - March 1980",56 pages
0012_004267_000094,"Tennessee farm and home science, progress report 114, April - June 1980",48 pages
0012_004267_000095,"Tennessee farm and home science, progress report 115, July - September 1980",24 pages
0012_004267_000096,"Tennessee farm and home science, progress report 116, October - December 1980",44 pages
0012_004267_000097,"Tennessee farm and home science, progress report 117, January - March 1981",36 pages
0012_004267_000098,"Tennessee farm and home science, progress report 118, April - June 1981",32 pages
0012_004267_000099,"Tennessee farm and home science, progress report 119, July - September 1981",36 pages
0012_004267_000100,"Tennessee farm and home science, progress report 120, October - December 1981",16 pages
0012_004267_000101,"Tennessee farm and home science, progress report 121, January - March 1982",32 pages
0012_004267_000102,"Tennessee farm and home science, progress report 122, April - June 1982",32 pages
0012_004267_000103,"Tennessee farm and home science, progress report 123, July - September 1982",32 pages
0012_004267_000104,"Tennessee farm and home science, progress report 124, October - December 1982",16 pages
0012_004267_000105,"Tennessee farm and home science, progress report 125, January - March 1983",32 pages
0012_004267_000106,"Tennessee farm and home science, progress report 126, April - June 1983",28 pages
0012_004267_000107,"Tennessee farm and home science, progress report 127, July - September 1983",16 pages
