date_crop_box,date_guess,date_guess_id,image_name
"(2383, 680, 3037, 775)",January 1941,2,0012_004268_000098_0001.tif
"(743, 680, 1397, 775)",,3,0012_004268_000098_0001.tif
"(264, 1190, 852, 1282)",March 1 to 15,1,0012_004268_000100_0001.tif
"(457, 1324, 992, 1424)",,2,0012_004268_000100_0001.tif
"(2320, 1128, 3007, 1233)",February 1941,1,0012_004268_000101_0001.tif
"(153, 290, 700, 399)",JUL 15 1g,1,0012_004268_000103_0001.tif
"(528, 1079, 1057, 1173)",,1,0012_004268_000104_0001.tif
"(782, 487, 1369, 611)",,1,0012_004268_000106_0001.tif
"(2384, 92, 2970, 189)",March 1941,2,0012_004268_000106_0001.tif
"(2422, 487, 3009, 611)",March 1941,3,0012_004268_000106_0001.tif
"(2487, 1033, 3080, 1129)",April 1941,1,0012_004268_000107_0001.tif
"(224, 453, 774, 570)","JUL L8i19ah, ,",1,0012_004268_000108_0001.tif
"(2611, 509, 3203, 602)",April 1946,1,0012_004268_000109_0001.tif
"(232, 388, 778, 505)",July 1941,1,0012_004268_000110_0001.tif
"(2631, 890, 3190, 1000)",July 1941,1,0012_004268_000111_0001.tif
"(2569, 186, 3127, 293)",July 1941,1,0012_004268_000112_0001.tif
"(2064, 188, 2719, 281)",October 1941,1,0012_004268_000113_0001.tif
"(2432, 593, 3023, 688)",October 1941,1,0012_004268_000114_0001.tif
"(714, 593, 1383, 688)",,2,0012_004268_000114_0001.tif
"(2354, 593, 3023, 688)",October 1941,3,0012_004268_000114_0001.tif
"(2298, 185, 2890, 293)",,1,0012_004268_000129_0001.tif
"(0, 568, 578, 727)",,1,0012_004268_000131_0001.tif
"(903, 425, 1428, 535)",,1,0012_004268_000133_0001.tif
"(2543, 425, 3068, 535)",May 1945,2,0012_004268_000133_0001.tif
"(504, 1230, 1025, 1324)",,1,0012_004268_000135_0001.tif
"(2513, 291, 3248, 403)",September 1945,1,0012_004268_000136_0001.tif
"(873, 291, 1608, 403)",,2,0012_004268_000136_0001.tif
"(2528, 570, 3249, 662)",September 1945,1,0012_004268_000137_0001.tif
"(888, 570, 1609, 662)",,2,0012_004268_000137_0001.tif
"(248, 824, 807, 921)",June Pink 3 early,1,0012_004268_000142_0001.tif
"(2431, 568, 3099, 774)",February 1946,1,0012_004268_000146_0001.tif
"(791, 568, 1459, 774)",,2,0012_004268_000146_0001.tif
"(2693, 374, 3280, 465)",March 1194,1,0012_004268_000149_0001.tif
"(2454, 218, 2995, 328)",February 1949,1,0012_004268_000150_0001.tif
"(840, 274, 1393, 379)",,1,0012_004268_000151_0001.tif
"(2480, 274, 3033, 379)",July 1946,2,0012_004268_000151_0001.tif
"(2422, 471, 3087, 592)",August 1946,1,0012_004268_000153_0001.tif
"(2422, 463, 3086, 596)",,2,0012_004268_000153_0001.tif
"(2332, 295, 3131, 415)",February 1962,1,0012_004268_000155_0001.tif
"(2328, 713, 3016, 823)",November 1946,1,0012_004268_000156_0001.tif
"(688, 727, 1376, 823)",,2,0012_004268_000156_0001.tif
"(2328, 727, 3016, 823)",November 1946,3,0012_004268_000156_0001.tif
"(910, 605, 1567, 779)",,1,0012_004268_000160_0001.tif
"(910, 605, 1567, 779)",,2,0012_004268_000160_0001.tif
"(2550, 605, 3207, 779)",January 1947,3,0012_004268_000160_0001.tif
"(2555, 572, 3177, 667)",,1,0012_004268_000161_0001.tif
"(2542, 586, 3231, 695)",February 1947,1,0012_004268_000164_0001.tif
"(3499, 1252, 4016, 1320)",,1,0012_004268_000165_0001.tif
"(4025, 71, 4547, 174)",July 1948,1,0012_004268_000169_0001.tif
"(2657, 470, 3163, 551)",May 1947,1,0012_004268_000170_0001.tif
"(2655, 683, 3208, 780)",July 1947,1,0012_004268_000171_0001.tif
"(798, 367, 1356, 473)",,1,0012_004268_000172_0001.tif
"(2380, 461, 2930, 552)",,1,0012_004268_000173_0001.tif
"(740, 461, 1290, 552)",,2,0012_004268_000173_0001.tif
"(2516, 1050, 3105, 1147)",March 1948,1,0012_004268_000175_0001.tif
"(891, 1020, 1482, 1139)",January 1309,1,0012_004268_000176_0001.tif
"(2531, 1020, 3122, 1139)",March 1194,2,0012_004268_000176_0001.tif
"(2488, 1005, 3079, 1100)",March 1948,1,0012_004268_000178_0001.tif
"(848, 1005, 1439, 1100)",,2,0012_004268_000178_0001.tif
"(2594, 1006, 3183, 1101)",March 1948,1,0012_004268_000179_0001.tif
"(862, 1032, 1452, 1128)",,1,0012_004268_000180_0001.tif
"(2502, 1032, 3092, 1128)",,2,0012_004268_000180_0001.tif
"(2449, 1032, 3037, 1127)",March 1948,1,0012_004268_000183_0001.tif
"(809, 1032, 1397, 1127)",,2,0012_004268_000183_0001.tif
"(2602, 919, 3193, 1042)",March 1948,1,0012_004268_000184_0001.tif
"(962, 919, 1553, 1042)",,2,0012_004268_000184_0001.tif
"(2561, 1017, 3151, 1112)",March 1948,1,0012_004268_000185_0001.tif
"(2492, 1017, 3083, 1115)",March 1948,1,0012_004268_000186_0001.tif
"(852, 1017, 1443, 1115)",October 1323,2,0012_004268_000186_0001.tif
"(872, 1002, 1461, 1098)",,1,0012_004268_000187_0001.tif
"(2512, 1002, 3101, 1098)",March 1948,2,0012_004268_000187_0001.tif
"(2526, 1053, 3119, 1150)",March 1948,1,0012_004268_000188_0001.tif
"(2547, 1013, 3133, 1110)",March 1948,1,0012_004268_000189_0001.tif
"(2502, 1012, 3092, 1108)",March 1948,1,0012_004268_000190_0001.tif
"(862, 1012, 1452, 1108)",October 1327,2,0012_004268_000190_0001.tif
"(2494, 562, 3048, 657)",July 1948,1,0012_004268_000193_0001.tif
"(790, 735, 1447, 834)",,1,0012_004268_000195_0001.tif
"(2430, 735, 3087, 834)",January 1951,2,0012_004268_000195_0001.tif
"(2526, 629, 3182, 759)",October 1948,1,0012_004268_000197_0001.tif
"(886, 629, 1542, 759)",,2,0012_004268_000197_0001.tif
"(2515, 253, 3204, 363)",November 1948,1,0012_004268_000198_0001.tif
"(875, 253, 1564, 363)",,2,0012_004268_000198_0001.tif
"(2556, 648, 3240, 742)","FEBRUARY 19,9",1,0012_004268_000200_0001.tif
"(1794, 1422, 2318, 1516)",,2,0012_004268_000200_0001.tif
"(2155, 62, 2690, 175)",APR 5 4954,1,0012_004268_000204_0001.tif
"(767, 125, 1303, 227)",February 1952,1,0012_004268_000206_0001.tif
"(2649, 453, 3240, 549)",April 1951,2,0012_004268_000206_0001.tif
"(3707, 103, 4280, 203)",JUNE 195!,1,0012_004268_000208_0001.tif
"(2603, 832, 3163, 927)",June 1951,1,0012_004268_000209_0001.tif
"(2634, 501, 3280, 602)",January 1960,1,0012_004268_000211_0001.tif
"(2246, 510, 2932, 607)",February 1952,1,0012_004268_000212_0001.tif
"(606, 510, 1292, 607)",,2,0012_004268_000212_0001.tif
"(5323, 496, 5853, 609)",September 1954,1,0012_004268_000213_0001.tif
"(304, 422, 1007, 530)",January 1964,1,0012_004268_000214_0001.tif
"(1171, 1426, 1693, 1518)",,1,0012_004268_000215_0001.tif
"(2708, 291, 3270, 383)",May 1968,1,0012_004268_000217_0001.tif
"(631, 330, 1233, 443)",June 1944,1,0012_004268_000218_0001.tif
"(1181, 1242, 1745, 1320)",,2,0012_004268_000218_0001.tif
"(3321, 1242, 3885, 1320)",,3,0012_004268_000218_0001.tif
"(2559, 30, 3246, 149)",December 1943,1,0012_004268_000223_0001.tif
"(2649, 497, 3166, 662)",July 1949,1,0012_004268_000224_0001.tif
